research_scope,source_dof,seeds,trees,rate_profile,loss,loss_num,loss_den,receivers,feedback_rtt_ticks,striping_minus_pooling_ticks_sum,mean_striping_minus_pooling_ticks,p95_striping_minus_pooling_ticks,per_stripe_ownership_waste_sum,mean_per_stripe_ownership_waste,p95_per_stripe_ownership_waste,pearson_gap_vs_ownership_waste,per_stripe_minus_carousel_emissions_sum,mean_per_stripe_minus_carousel_emissions,pearson_gap_vs_emission_gap,rounds_minus_carousel_ticks_sum,mean_rounds_minus_carousel_ticks,p95_rounds_minus_carousel_ticks,rounds_minus_carousel_emissions_sum,mean_rounds_minus_carousel_emissions,carousel_tail_deliveries_sum,mean_carousel_tail_deliveries,carousel_tail_emissions_sum,mean_carousel_tail_emissions,mean_carousel_tail_emission_fraction
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,1,8,0,0.000000,0,0,0.000000,0,,-7168,-14.000000,,0,0.000000,0,-7168,-14.000000,7168,14.000000,7168,14.000000,0.001706069
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,1,64,0,0.000000,0,0,0.000000,0,,-64512,-126.000000,,0,0.000000,0,-64512,-126.000000,64512,126.000000,64512,126.000000,0.015147872
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,1,512,0,0.000000,0,0,0.000000,0,,-523264,-1022.000000,,0,0.000000,0,-523264,-1022.000000,523264,1022.000000,523264,1022.000000,0.110918168
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,3,8,0,0.000000,0,0,0.000000,0,,-7168,-14.000000,,0,0.000000,0,-7168,-14.000000,21504,42.000000,7168,14.000000,0.001706069
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,3,64,0,0.000000,0,0,0.000000,0,,-64512,-126.000000,,0,0.000000,0,-64512,-126.000000,193536,378.000000,64512,126.000000,0.015147872
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,3,512,0,0.000000,0,0,0.000000,0,,-523264,-1022.000000,,0,0.000000,0,-523264,-1022.000000,1569792,3066.000000,523264,1022.000000,0.110918168
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,8,8,0,0.000000,0,0,0.000000,0,,-7168,-14.000000,,0,0.000000,0,-7168,-14.000000,57344,112.000000,7168,14.000000,0.001706069
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,8,64,0,0.000000,0,0,0.000000,0,,-64512,-126.000000,,0,0.000000,0,-64512,-126.000000,516096,1008.000000,64512,126.000000,0.015147872
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,0,1,8,512,0,0.000000,0,0,0.000000,0,,-523264,-1022.000000,,0,0.000000,0,-523264,-1022.000000,4186112,8176.000000,523264,1022.000000,0.110918168
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,bec-0.5pct,5,1000,1,8,1261,2.462891,6,2518,4.917969,12,0.982130255,-4885,-9.541016,0.991604532,4274,8.347656,15,-7414,-14.480469,7378,14.410156,7417,14.486328,0.001756438
