research_scope,source_dof,seeds,trees,rate_profile,loss,receivers,feedback_rtt_ticks,protocol,receiver_index,completion_ticks_sum,mean_completion_ticks,p95_completion_ticks
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,8,equal_split_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,8,rate_proportional_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,8,per_stripe_fec,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,8,pooled_rounds,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,8,pooled_carousel,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,64,equal_split_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,64,rate_proportional_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,64,per_stripe_fec,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,64,pooled_rounds,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,64,pooled_carousel,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,512,equal_split_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,512,rate_proportional_striping,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,512,per_stripe_fec,0,2097152,4096.000000,4096
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,none,1,512,pooled_rounds,0,2097152,4096.000000,4096
