research_scope,source_dof,seeds,trees,rate_profile,static_ratio,loss,loss_num,loss_den,receivers,feedback_rtt_ticks,protocol,receiver_observations,receiver_completion_ticks_sum,mean_receiver_completion_ticks,p95_receiver_completion_ticks,barrier_completion_ticks_sum,mean_barrier_completion_ticks,p95_barrier_completion_ticks,sender_stop_ticks_sum,mean_sender_stop_ticks,p95_sender_stop_ticks,total_emissions_sum,mean_total_emissions,p95_total_emissions,ownership_wasted_deliveries_sum,mean_ownership_wasted_deliveries,p95_ownership_wasted_deliveries,post_completion_tail_deliveries_sum,mean_post_completion_tail_deliveries,p95_post_completion_tail_deliveries,post_completion_tail_emissions_sum,mean_post_completion_tail_emissions,p95_post_completion_tail_emissions,opportunity_weighted_tree_utilization
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,8,equal_split_striping,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,8,rate_proportional_striping,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,8,per_stripe_fec,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2097664,4097.000000,4097,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,8,pooled_rounds,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,8,pooled_carousel,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4201472,8206.000000,8206,0,0.000000,0,7168,14.000000,14,7168,14.000000,14,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,64,equal_split_striping,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,64,rate_proportional_striping,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,64,per_stripe_fec,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2097664,4097.000000,4097,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,64,pooled_rounds,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,64,pooled_carousel,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4258816,8318.000000,8318,0,0.000000,0,64512,126.000000,126,64512,126.000000,126,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,512,equal_split_striping,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2359296,4608.000000,4608,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,512,rate_proportional_striping,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2359296,4608.000000,4608,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,512,per_stripe_fec,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2097664,4097.000000,4097,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,512,pooled_rounds,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2359296,4608.000000,4608,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.889081832
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,1,512,pooled_carousel,512,2097152,4096.000000,4096,2097152,4096.000000,4096,2359296,4608.000000,4608,4717568,9214.000000,9214,0,0.000000,0,523264,1022.000000,1022,523264,1022.000000,1022,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,8,equal_split_striping,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,8,rate_proportional_striping,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,8,per_stripe_fec,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2097664,4097.000000,4097,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,8,pooled_rounds,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.998293931
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,8,pooled_carousel,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2101248,4104.000000,4104,4201472,8206.000000,8206,0,0.000000,0,21504,42.000000,42,7168,14.000000,14,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,64,equal_split_striping,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,64,rate_proportional_striping,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,64,per_stripe_fec,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2097664,4097.000000,4097,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,64,pooled_rounds,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.984852128
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,64,pooled_carousel,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2129920,4160.000000,4160,4258816,8318.000000,8318,0,0.000000,0,193536,378.000000,378,64512,126.000000,126,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,none,0,1,3,512,equal_split_striping,1536,6291456,4096.000000,4096,2097152,4096.000000,4096,2359296,4608.000000,4608,4194304,8192.000000,8192,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.889081832
