research_scope,phase,source_count,production_symbol_bytes,trials,c_wire_num,c_wire_den,c_reserve_num,c_reserve_den,channel,stationary_erasure_probability,interior_c_num,interior_c_den,wire_bin_count,reserve_cardinality,terminal_bin_count,actual_wire_overhead,actual_total_overhead,initial_completions,initial_completion_probability,final_completions,completion_probability,cp95_lower,cp95_upper,repair_successes,mean_repair_emissions,p95_repair_emissions,mean_reserve_emissions,mean_reserve_losses,duplicate_transmissions,sender_reserve_payload_bytes,sender_reserve_budget_bytes,budget_pass
BEYOND the METTLE paper,grid,8192,1400,512,1,100,3,100,bec-0.1pct,0.001000000,3299,1000000,8274,246,8520,0.010009766,0.040039062,5,0.009765625,78,0.152343750,0.122322334,0.186444675,73,137.821918,241,228.173828,0.218750,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,3,100,bec-0.5pct,0.005000000,3299,1000000,8274,246,8520,0.010009766,0.040039062,0,0.000000000,0,0.000000000,0.000000000,0.007178950,0,0.000000,0,246.000000,1.207031,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,3,100,bec-1.0pct,0.010000000,3299,1000000,8274,246,8520,0.010009766,0.040039062,0,0.000000000,0,0.000000000,0.000000000,0.007178950,0,0.000000,0,246.000000,2.386719,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,3,100,bec-1.5pct,0.015000000,3299,1000000,8274,246,8520,0.010009766,0.040039062,0,0.000000000,0,0.000000000,0.000000000,0.007178950,0,0.000000,0,246.000000,3.576172,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,3,100,bec-2.0pct,0.020000000,3299,1000000,8274,246,8520,0.010009766,0.040039062,0,0.000000000,0,0.000000000,0.000000000,0.007178950,0,0.000000,0,246.000000,4.806641,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,3,100,ge-short-1.089pct,0.010891089,3299,1000000,8274,246,8520,0.010009766,0.040039062,0,0.000000000,1,0.001953125,0.000049448,0.010833657,1,124.000000,124,245.761719,2.722656,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,3,100,ge-long-1.089pct,0.010891089,3299,1000000,8274,246,8520,0.010009766,0.040039062,3,0.005859375,38,0.074218750,0.053054034,0.100450035,35,151.685714,244,238.111328,2.728516,0,344400,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,1,20,bec-0.1pct,0.001000000,22637,1000000,8274,410,8684,0.010009766,0.060058594,71,0.138671875,510,0.996093750,0.985961095,0.999526584,439,105.473804,264,92.037109,0.091797,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,1,20,bec-0.5pct,0.005000000,22637,1000000,8274,410,8684,0.010009766,0.060058594,0,0.000000000,457,0.892578125,0.862477168,0.918044229,457,267.304158,378,282.632812,1.408203,0,574000,8388608,true
BEYOND the METTLE paper,grid,8192,1400,512,1,100,1,20,bec-1.0pct,0.010000000,22637,1000000,8274,410,8684,0.010009766,0.060058594,0,0.000000000,136,0.265625000,0.227839291,0.306141210,136,357.125000,406,395.955078,3.800781,0,574000,8388608,true
