profile,placement,resource,total_flow_directions,foreground_flow_directions,background_flow_directions
digitalocean-like,west-origin,nic:nyc3,20,12,8
digitalocean-like,west-origin,nic:tor1,6,6,0
digitalocean-like,west-origin,nic:sfo3,32,16,16
digitalocean-like,west-origin,nic:lon1,14,6,8
digitalocean-like,west-origin,nic:fra1,12,12,0
digitalocean-like,west-origin,nic:sgp1,8,8,0
digitalocean-like,west-origin,trunk:na-east-to-na-west,8,4,4
digitalocean-like,west-origin,trunk:na-west-to-na-east,8,4,4
digitalocean-like,west-origin,trunk:na-east-to-eu,2,2,0
digitalocean-like,west-origin,trunk:eu-to-na-east,2,2,0
digitalocean-like,west-origin,trunk:na-west-to-ap,3,3,0
digitalocean-like,west-origin,trunk:ap-to-na-west,3,3,0
digitalocean-like,west-origin,trunk:eu-to-ap,1,1,0
digitalocean-like,west-origin,trunk:ap-to-eu,1,1,0
digitalocean-like,west-origin,trunk:na-west-to-eu,7,3,4
digitalocean-like,west-origin,trunk:eu-to-na-west,7,3,4
