schema_version,simulator_version,evidence_class,profile,placement,utilization_percent,jitter,source_symbols,seed,arm,execution_variant,barrier_completion_ns,sender_completion_ns,modeled_egress_nano_usd,foreground_egress_wire_bytes,total_emissions,application_drops,link_drops,maximum_mailbox_high_water
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1746284589,1799489467,207108,25888248,8192,0,0,12133
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,pooled-FEC carousel on wansim transport,carousel,1695926874,1757206227,1944023,243020284,149500,0,0,48713
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,per-stripe FEC on wansim transport,per-stripe-fec,1752453502,1805538772,2045565,256328775,139203,0,0,48709
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,best-single tree on wansim transport,best-single-tree1,1843910319,1896152118,1176463,133177872,77822,0,0,31438
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1746226237,1797534822,207108,25888248,8192,0,0,12943
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,pooled-FEC carousel on wansim transport,carousel,1699441921,1758808729,1942082,242789407,148282,0,0,48520
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,per-stripe FEC on wansim transport,per-stripe-fec,1757318298,1808565483,2030898,254862072,137068,0,0,48520
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,best-single tree on wansim transport,best-single-tree1,1844067755,1896026052,1176546,133186111,77822,0,0,31285
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1735444858,1789001405,207108,25888248,8192,0,0,12886
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,pooled-FEC carousel on wansim transport,carousel,1710059914,1771656691,1922711,240181156,149589,0,0,49150
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,per-stripe FEC on wansim transport,per-stripe-fec,1755752295,1809204003,2044679,256222169,138962,0,0,49147
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,best-single tree on wansim transport,best-single-tree1,1852640555,1905809227,1324818,153190722,77822,0,0,31778
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1741636453,1794700321,207108,25888248,8192,0,0,12436
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,pooled-FEC carousel on wansim transport,carousel,1694399390,1755205877,1953834,244275875,148885,0,0,52494
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,per-stripe FEC on wansim transport,per-stripe-fec,1750551659,1804958491,2038653,255637567,137100,0,0,52467
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,best-single tree on wansim transport,best-single-tree1,1837142403,1889319712,1176717,133203191,77822,0,0,32276
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1744617623,1796280152,207108,25888248,8192,0,0,13043
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,pooled-FEC carousel on wansim transport,carousel,1701650567,1761364592,1934410,241768989,149520,0,0,46512
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,per-stripe FEC on wansim transport,per-stripe-fec,1754690803,1806199462,2053958,257168061,139077,0,0,46513
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,best-single tree on wansim transport,best-single-tree1,1844988229,1898900700,1176265,133157992,77822,0,0,32350
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1736703331,1790965152,207108,25888248,8192,0,0,13129
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,pooled-FEC carousel on wansim transport,carousel,1693457023,1756107259,1952055,244143136,148185,0,0,47626
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,per-stripe FEC on wansim transport,per-stripe-fec,1750485798,1805062338,2024791,254251373,133941,0,0,47617
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,best-single tree on wansim transport,best-single-tree1,1835825789,1888036949,1176698,133201310,77822,0,0,30926
