schema_version,simulator_version,evidence_class,profile,placement,utilization_percent,jitter,source_symbols,seed,arm,execution_variant,barrier_completion_ns,sender_completion_ns,modeled_egress_nano_usd,foreground_egress_wire_bytes,total_emissions,application_drops,link_drops,maximum_mailbox_high_water
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1859703413,1911870867,155329,25887804,8192,0,0,10447
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,pooled-FEC carousel on wansim transport,carousel,1700254157,1761505910,1939372,240643153,151548,0,0,42510
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,per-stripe FEC on wansim transport,per-stripe-fec,1731757632,1785026970,1939257,240631565,150524,0,0,42512
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,0,best-single tree on wansim transport,best-single-tree1,1847172579,1899374053,1281198,128119921,77822,0,0,24350
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1864043242,1916075114,155329,25887804,8192,0,0,10390
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,pooled-FEC carousel on wansim transport,carousel,1709349308,1768708729,1913627,237957636,151548,0,0,43634
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,per-stripe FEC on wansim transport,per-stripe-fec,1737483748,1788792613,1913521,237947068,150524,0,0,43626
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,1,best-single tree on wansim transport,best-single-tree1,1852402676,1904788333,1468691,146869244,77822,0,0,26735
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1869829427,1922996543,155329,25887804,8192,0,0,10538
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,pooled-FEC carousel on wansim transport,carousel,1714217983,1775758818,1885409,235122792,142282,0,896,42643
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,per-stripe FEC on wansim transport,per-stripe-fec,1741561983,1795118530,1885299,235111792,142283,0,895,42641
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,2,best-single tree on wansim transport,best-single-tree1,1856008345,1909177017,1456575,145657588,77822,0,0,27263
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1858094052,1910127268,155329,25887804,8192,0,0,10556
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,pooled-FEC carousel on wansim transport,carousel,1703359512,1764395297,1911152,237862696,136113,0,1044,44482
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,per-stripe FEC on wansim transport,per-stripe-fec,1731246104,1784051837,1911030,237850592,136111,0,1047,44474
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,3,best-single tree on wansim transport,best-single-tree1,1846906026,1898916908,1281197,128119840,77822,0,0,25269
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1863597315,1917416774,155329,25887804,8192,0,0,10608
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,pooled-FEC carousel on wansim transport,carousel,1711553462,1771262673,1900581,236499771,151548,0,0,45908
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,per-stripe FEC on wansim transport,per-stripe-fec,1738656606,1790319135,1900467,236488419,150524,0,0,45911
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,4,best-single tree on wansim transport,best-single-tree1,1854172218,1907991677,1456726,145672708,77822,0,0,26466
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1858409142,1910858463,155329,25887804,8192,0,0,10399
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,pooled-FEC carousel on wansim transport,carousel,1710096321,1772361965,1907457,237622464,140239,0,635,44389
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,per-stripe FEC on wansim transport,per-stripe-fec,1730255975,1785300843,1907349,237611736,140241,0,635,44401
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,5,best-single tree on wansim transport,best-single-tree1,1848710183,1900921343,1462526,146252697,77822,0,0,27182
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,6,Cloudcast POLICY on wansim transport,Cloudcast POLICY on wansim transport,1854828050,1908262477,155329,25887804,8192,0,0,10333
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,6,pooled-FEC carousel on wansim transport,carousel,1698419929,1760263513,1577904,181058282,102374,0,535,32864
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,6,per-stripe FEC on wansim transport,per-stripe-fec,1728409114,1782319984,1577786,181046458,101350,0,537,32864
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,8192,6,best-single tree on wansim transport,best-single-tree1,1839872062,1893477833,1283049,128305055,77822,0,0,25503
