schema_version,simulator_version,evidence_class,scenario,seed,rate_profile,active_receivers,protocol,source_symbols,receiver1_completion_ns,receiver2_completion_ns,receiver3_completion_ns,local_completion_sum_ns,barrier_completion_ns,sender_completion_ns,total_emissions,tree0_emissions,tree1_emissions,ack_flight_tail_emissions,post_barrier_tail_emissions,emissions_after_sender_completion,positive_round_deficit_reports,round_deficit_sum,maximum_round_deficit,application_drops,link_drops,mailbox_high_water
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s0,0,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s1,1,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s2,2,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s3,3,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s4,4,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s5,5,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s6,6,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s7,7,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s8,8,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
1,0.1.0,model-level causal evidence; not a WAN measurement,w1-e0-equal_split_striping-homogeneous-r1-s9,9,homogeneous,1,equal_split_striping,64,18669209,0,0,18669209,18669209,20674650,64,32,32,0,0,0,0,0,0,0,0,8
