schema_version,simulator_version,evidence_class,sample_class,admission_policy,slow_service_rate,buffer_budget,receiver_count,fanout_degree,child_order,seed,receiver,is_barrier_receiver,final_tree,final_frame_id,source_generation_ns,source_to_runtime_ns,runtime_wait_ns,decoder_queue_ns,decoder_service_ns,total_ns
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,0,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,0,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,0,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,1,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,1,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,1,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,2,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,2,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,2,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,3,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,3,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,3,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,4,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,4,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,4,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,5,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,5,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,5,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,6,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,6,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,6,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,7,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,7,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,7,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,8,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,8,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,8,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,9,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,9,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,9,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,10,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,10,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,10,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,11,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,11,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,11,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,12,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,12,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,12,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,13,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,13,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,13,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,14,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,14,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,14,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,15,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,15,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,15,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,16,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,16,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,16,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,17,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,17,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,17,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,18,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,18,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,18,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,19,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,19,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,19,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,20,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,20,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,20,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,21,0,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,21,1,true,1,260,273932814,5396003,5000,0,100000,279433817
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,21,2,false,0,259,272245618,4041599,10000,95000,100000,276492217
