schema_version,simulator_version,evidence_class,admission_policy,scenario,seeds,barrier_mean_ns,healthy_externality_mean_ns,healthy_externality_p95_ns,total_emissions_mean,slow_transport_deliveries_through_completion_mean,slow_application_drop_deficits_mean,application_drop_deficits_mean,blocking_wait_events_mean,isolated_credit_deferrals_mean,isolated_credit_replays_mean,isolated_credit_debt_high_water_frames_max,isolated_credit_debt_outstanding_frames_mean,liveness_pressure_max_permille
1,0.1.0,model-level causal evidence; not a WAN measurement,hybrid_drop,service=1_10x budget=0.25_bdp receivers=8 fanout=2 order=slow_first,128,516260202,0,0,990,968,454,510,0,0,0,0,0,258
1,0.1.0,model-level causal evidence; not a WAN measurement,hybrid_drop,service=1_10x budget=0.25_bdp receivers=8 fanout=2 order=slow_last,128,516260202,0,0,990,968,454,510,0,0,0,0,0,258
1,0.1.0,model-level causal evidence; not a WAN measurement,hybrid_drop,service=1_10x budget=0.25_bdp receivers=8 fanout=4 order=slow_first,128,515197002,0,0,986,970,456,519,0,0,0,0,0,257
1,0.1.0,model-level causal evidence; not a WAN measurement,hybrid_drop,service=1_10x budget=0.25_bdp receivers=8 fanout=4 order=slow_last,128,515197002,0,0,986,970,456,519,0,0,0,0,0,257
1,0.1.0,model-level causal evidence; not a WAN measurement,naive_blocking,service=1_10x budget=0.25_bdp receivers=8 fanout=2 order=slow_first,128,516260202,229043588,229043588,557,516,0,0,1074,0,0,0,0,258
1,0.1.0,model-level causal evidence; not a WAN measurement,naive_blocking,service=1_10x budget=0.25_bdp receivers=8 fanout=2 order=slow_last,128,516260202,227043588,227043588,557,516,0,0,1076,0,0,0,0,258
1,0.1.0,model-level causal evidence; not a WAN measurement,naive_blocking,service=1_10x budget=0.25_bdp receivers=8 fanout=4 order=slow_first,128,515197002,229406788,229406788,545,516,0,0,1064,0,0,0,0,257
1,0.1.0,model-level causal evidence; not a WAN measurement,naive_blocking,service=1_10x budget=0.25_bdp receivers=8 fanout=4 order=slow_last,128,515197002,227406788,227406788,545,516,0,0,1066,0,0,0,0,257
1,0.1.0,model-level causal evidence; not a WAN measurement,isolated_credit,service=1_10x budget=0.25_bdp receivers=8 fanout=2 order=slow_first,128,516260202,0,0,990,516,0,0,0,964,511,228,453,258
1,0.1.0,model-level causal evidence; not a WAN measurement,isolated_credit,service=1_10x budget=0.25_bdp receivers=8 fanout=2 order=slow_last,128,516260202,0,0,990,516,0,0,0,964,511,228,453,258
1,0.1.0,model-level causal evidence; not a WAN measurement,isolated_credit,service=1_10x budget=0.25_bdp receivers=8 fanout=4 order=slow_first,128,515197002,0,0,986,516,0,0,0,958,504,227,454,257
1,0.1.0,model-level causal evidence; not a WAN measurement,isolated_credit,service=1_10x budget=0.25_bdp receivers=8 fanout=4 order=slow_last,128,515197002,0,0,986,516,0,0,0,958,504,227,454,257
