schema_version,simulator_version,evidence_class,sample_class,admission_policy,slow_service_rate,buffer_budget,receiver_count,fanout_degree,child_order,seeds,barrier_mean_ns,barrier_p95_ns,healthy_externality_mean_ns,healthy_externality_p95_ns,healthy_externality_max_ns,slow_completion_mean_ns,total_emissions_mean,sender_extra_emissions_mean,post_completion_tail_mean,slow_transport_deliveries_through_completion_mean,slow_application_drop_deficits_mean,application_drop_deficits_mean,application_drop_deficits_sum,application_drops_total_mean,application_drops_total_sum,blocking_wait_events_mean,blocking_wait_events_sum,isolated_credit_deferrals_mean,isolated_credit_deferrals_sum,isolated_credit_replays_mean,isolated_credit_replays_sum,isolated_credit_debt_high_water_frames_max,isolated_credit_debt_outstanding_frames_mean,link_drops_sum,liveness_pressure_max_permille,mailbox_high_water_max
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,hybrid_drop,1_10x,0.25_bdp,8,2,slow_first,128,516260202,516260202,0,0,0,516260202,990,478,8,968,454,510,65280,520,66560,0,0,0,0,0,0,0,0,0,258,32
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,hybrid_drop,1_10x,0.25_bdp,8,2,slow_last,128,516260202,516260202,0,0,0,516260202,990,478,8,968,454,510,65280,520,66560,0,0,0,0,0,0,0,0,0,258,32
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,hybrid_drop,1_10x,0.25_bdp,8,4,slow_first,128,515197002,515197002,0,0,0,515197002,986,474,8,970,456,519,66432,521,66688,0,0,0,0,0,0,0,0,0,257,27
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,hybrid_drop,1_10x,0.25_bdp,8,4,slow_last,128,515197002,515197002,0,0,0,515197002,986,474,8,970,456,519,66432,521,66688,0,0,0,0,0,0,0,0,0,257,27
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,naive_blocking,1_10x,0.25_bdp,8,2,slow_first,128,516260202,516260202,229043588,229043588,229043588,516260202,557,45,5,516,0,0,0,0,0,1074,137472,0,0,0,0,0,0,0,258,26
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,naive_blocking,1_10x,0.25_bdp,8,2,slow_last,128,516260202,516260202,227043588,227043588,227043588,516260202,557,45,5,516,0,0,0,0,0,1076,137728,0,0,0,0,0,0,0,258,28
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,naive_blocking,1_10x,0.25_bdp,8,4,slow_first,128,515197002,515197002,229406788,229406788,229406788,515197002,545,33,4,516,0,0,0,0,0,1064,136192,0,0,0,0,0,0,0,257,23
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,naive_blocking,1_10x,0.25_bdp,8,4,slow_last,128,515197002,515197002,227406788,227406788,227406788,515197002,545,33,4,516,0,0,0,0,0,1066,136448,0,0,0,0,0,0,0,257,23
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,isolated_credit,1_10x,0.25_bdp,8,2,slow_first,128,516260202,516260202,0,0,0,516260202,990,478,8,516,0,0,0,0,0,0,0,964,123392,511,65408,228,453,0,258,32
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,isolated_credit,1_10x,0.25_bdp,8,2,slow_last,128,516260202,516260202,0,0,0,516260202,990,478,8,516,0,0,0,0,0,0,0,964,123392,511,65408,228,453,0,258,32
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,isolated_credit,1_10x,0.25_bdp,8,4,slow_first,128,515197002,515197002,0,0,0,515197002,986,474,8,516,0,0,0,0,0,0,0,958,122624,504,64512,227,454,0,257,27
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,isolated_credit,1_10x,0.25_bdp,8,4,slow_last,128,515197002,515197002,0,0,0,515197002,986,474,8,516,0,0,0,0,0,0,0,958,122624,504,64512,227,454,0,257,27
