schema_version,simulator_version,evidence_class,sample_class,admission_policy,slow_service_rate,buffer_budget,receiver_count,fanout_degree,child_order,seeds,barrier_mean_ns,barrier_p95_ns,healthy_externality_mean_ns,healthy_externality_p95_ns,healthy_externality_max_ns,slow_completion_mean_ns,total_emissions_mean,sender_extra_emissions_mean,post_completion_tail_mean,slow_transport_deliveries_through_completion_mean,slow_application_drop_deficits_mean,application_drop_deficits_mean,application_drop_deficits_sum,application_drops_total_mean,application_drops_total_sum,blocking_wait_events_mean,blocking_wait_events_sum,isolated_credit_deferrals_mean,isolated_credit_deferrals_sum,isolated_credit_replays_mean,isolated_credit_replays_sum,isolated_credit_debt_high_water_frames_max,isolated_credit_debt_outstanding_frames_mean,link_drops_sum,liveness_pressure_max_permille,mailbox_high_water_max
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_first,32,279433817,279433817,0,0,0,279433817,540,28,8,522,9,26,832,26,832,0,0,0,0,0,0,0,0,0,139,27
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,2,slow_last,32,279433817,279433817,0,0,0,276492217,540,28,8,520,8,26,832,26,832,0,0,0,0,0,0,0,0,0,139,27
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,4,slow_first,32,276492217,276492217,0,0,0,276492217,532,20,4,520,8,24,768,24,768,0,0,0,0,0,0,0,0,0,138,26
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,3,4,slow_last,32,276492217,276492217,0,0,0,276492217,532,20,4,520,8,24,768,24,768,0,0,0,0,0,0,0,0,0,138,26
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,8,2,slow_first,32,280533816,280533816,0,0,0,280533816,544,32,8,520,8,64,2048,64,2048,0,0,0,0,0,0,0,0,0,140,32
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,8,2,slow_last,32,280533816,280533816,0,0,0,280533816,544,32,8,520,8,64,2048,64,2048,0,0,0,0,0,0,0,0,0,140,32
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,8,4,slow_first,32,279433817,279433817,0,0,0,279433817,540,28,8,522,9,72,2304,72,2304,0,0,0,0,0,0,0,0,0,139,27
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,0.25_bdp,8,4,slow_last,32,279433817,279433817,0,0,0,279433817,540,28,8,522,9,72,2304,72,2304,0,0,0,0,0,0,0,0,0,139,27
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,3,2,slow_first,32,99592202,99592202,0,0,0,98656202,764,252,14,710,196,604,19328,644,20608,0,0,0,0,0,0,0,0,0,49,41
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,3,2,slow_last,32,99592202,99592202,0,0,0,99592202,764,252,14,728,212,604,19328,644,20608,0,0,0,0,0,0,0,0,0,49,41
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,3,4,slow_first,32,99592202,99592202,0,0,0,99592202,764,252,14,728,212,636,20352,666,21312,0,0,0,0,0,0,0,0,0,49,36
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,3,4,slow_last,32,99592202,99592202,0,0,0,99592202,764,252,14,728,212,636,20352,666,21312,0,0,0,0,0,0,0,0,0,49,36
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,8,2,slow_first,32,98030602,98030602,0,0,0,98030602,764,252,30,694,182,1456,46592,1576,50432,0,0,0,0,0,0,0,0,0,49,41
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,8,2,slow_last,32,98030602,98030602,0,0,0,98030602,764,252,30,694,182,1456,46592,1576,50432,0,0,0,0,0,0,0,0,0,49,41
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,8,4,slow_first,32,98656202,98656202,0,0,0,98656202,764,252,30,710,196,1568,50176,1688,54016,0,0,0,0,0,0,0,0,0,49,41
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,1_bdp,8,4,slow_last,32,98656202,98656202,0,0,0,98656202,764,252,30,710,196,1568,50176,1688,54016,0,0,0,0,0,0,0,0,0,49,41
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,4_bdp,3,2,slow_first,32,57748202,57748202,0,0,0,57748202,1684,1172,106,1468,932,2796,89472,3228,103296,0,0,0,0,0,0,0,0,0,28,70
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,4_bdp,3,2,slow_last,32,57748202,57748202,0,0,0,56693002,1684,1172,106,1468,932,2796,89472,3228,103296,0,0,0,0,0,0,0,0,0,28,70
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,4_bdp,3,4,slow_first,32,56693002,56693002,0,0,0,56693002,1620,1108,68,1468,932,2796,89472,2991,95712,0,0,0,0,0,0,0,0,0,28,55
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,4_bdp,3,4,slow_last,32,56693002,56693002,0,0,0,56693002,1620,1108,68,1468,932,2796,89472,2991,95712,0,0,0,0,0,0,0,0,0,28,55
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,4_bdp,8,2,slow_first,32,58803402,58803402,0,0,0,58803402,1748,1236,132,1466,930,7440,238080,8952,286464,0,0,0,0,0,0,0,0,0,29,75
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,hybrid_drop,1x,4_bdp,8,2,slow_last,32,58803402,58803402,0,0,0,58803402,1748,1236,132,1466,930,7440,238080,8952,286464,0,0,0,0,0,0,0,0,0,29,75
