schema_version,simulator_version,evidence_class,sample_class,seed,admission_policy,slow_service_rate,buffer_budget,receiver_count,fanout_degree,child_order,source_symbols,barrier_completion_ns,slow_completion_ns,healthy_completion_mean_ns,healthy_completion_max_ns,healthy_externality_mean_ns,healthy_externality_max_ns,sender_completion_ns,total_emissions,tree0_emissions,tree1_emissions,emissions_through_completion,sender_extra_emissions,post_completion_tail_emissions,slow_transport_deliveries_through_completion,slow_application_drop_deficits,application_drop_deficits,application_drops_total,blocking_wait_events,isolated_credit_deferrals,isolated_credit_replays,isolated_credit_debt_high_water_frames,isolated_credit_debt_outstanding_frames,link_drops,ack_probes,liveness_pressure_permille,maximum_mailbox_high_water,critical_receiver,critical_source_generation_ns,critical_source_to_runtime_ns,critical_runtime_wait_ns,critical_decoder_queue_ns,critical_decoder_service_ns
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,0,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,1,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,2,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,3,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,4,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,5,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,6,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,7,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,8,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,9,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,10,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,11,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,12,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,13,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,14,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,15,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,16,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,17,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,18,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,19,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,20,hybrid_drop,1x,0.25_bdp,3,2,slow_first,512,279433817,279433817,277963017,279433817,0,0,282556082,540,270,270,532,28,8,522,9,26,26,0,0,0,0,0,0,3,139,27,1,273932814,5396003,5000,0,100000
