schema_version,simulator_version,evidence_class,sample_class,seed,condition,cadence_factor,receiver_count,source_symbols,ack_debounce_ns,ack_heartbeat_ns,reverse_rate_bps,reverse_propagation_ns,barrier_completion_ns,sender_completion_ns,feedback_completion_lag_ns,total_emissions,post_completion_tail_emissions,block_acks_received,ack_probes,reverse_path_wire_bytes,reverse_background_delivered_bytes,application_drops,link_drops,liveness_pressure_permille,liveness_margin_permille
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,0,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,1,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,2,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,3,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,4,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,5,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,6,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,7,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,8,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,9,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,10,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,11,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,12,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,13,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,14,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,15,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,16,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,17,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,18,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,19,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,20,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,21,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,22,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,23,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,24,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,25,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,26,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,27,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,28,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,29,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,30,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,31,ack_incast,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,120460,0,1872,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,0,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,1,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,2,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,3,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,4,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,5,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,6,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,7,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,8,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,9,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,10,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,11,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,12,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,13,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,14,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,15,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,16,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,17,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,18,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,19,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,20,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,21,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,22,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,23,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,24,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,25,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,26,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,27,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,28,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,29,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,30,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,31,ack_incast,1x,8,512,500000,5000000,20000000,16000000,98656202,115434402,16778200,864,130,837,37,66892,0,1888,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,0,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,1,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,2,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,3,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,4,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,5,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,6,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,7,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,8,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,9,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,10,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,11,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,12,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,13,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,14,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,15,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,16,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,17,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,18,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,19,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,20,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,21,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,22,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,23,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,24,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,25,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,26,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,27,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,28,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,29,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,30,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,screening,31,ack_incast,2x,8,512,1000000,10000000,20000000,16000000,98656202,115634402,16978200,870,136,480,40,40000,0,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,ack_incast_plus_reverse_bursts,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115735602,17079400,874,140,1585,40,141092,19072,1896,0,49,951
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,1,ack_incast_plus_reverse_bursts,0.5x,8,512,250000,2500000,20000000,16000000,98656202,115184402,16528200,858,124,1585,40,141132,19072,1872,0,49,951
