schema_version,simulator_version,evidence_class,sample_class,overlap_percent,protocol,seed,receiver,is_barrier_receiver,final_tree,final_frame_id,source_generation_ns,source_to_runtime_ns,runtime_wait_ns,decoder_queue_ns,decoder_service_ns,total_ns
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,0,0,false,1,257,76566409,2689992,5000,0,10000,79271401
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,0,1,false,1,257,76566409,3717592,5000,0,10000,80299001
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,0,2,true,1,257,76566409,3717592,5000,0,10000,80299001
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,1,0,false,0,254,76224820,2255581,5000,0,10000,78495401
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,1,1,false,0,254,76224820,3283181,5000,0,10000,79523001
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,1,2,true,0,254,76224820,3283181,5000,0,10000,79523001
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,2,0,false,0,257,76940022,2248400,5000,0,10000,79203422
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,2,1,false,0,257,76940022,3276000,5000,0,10000,80231022
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,2,2,true,0,257,76940022,3276000,5000,0,10000,80231022
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,3,0,false,0,251,77437602,2248400,5000,0,10000,79701002
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,3,1,false,0,251,77437602,3276000,5000,0,10000,80728602
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,3,2,true,0,251,77437602,3276000,5000,0,10000,80728602
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,4,0,false,0,257,76700007,2496394,5000,0,10000,79211401
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,4,1,false,0,257,76700007,3523994,5000,0,10000,80239001
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,4,2,true,0,257,76700007,3523994,5000,0,10000,80239001
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,5,0,false,0,256,78036803,2690000,5000,0,10000,80741803
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,5,1,false,0,256,78036803,3717600,5000,0,10000,81769403
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,carousel,5,2,true,0,256,78036803,3717600,5000,0,10000,81769403
