schema_version,simulator_version,evidence_class,seed,admission_policy,overlap_percent,source_symbols,barrier_completion_ns,healthy_completion_max_ns,total_emissions,slow_branch_deliveries_through_completion,slow_application_drop_deficits,application_drops_total,isolated_credit_deferrals,isolated_credit_replays,isolated_credit_outstanding_frames,shared_leaf_wire_bytes,liveness_pressure_permille
1,0.1.0,model-level causal evidence; not a WAN measurement,0,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,1,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,2,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,3,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,4,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,5,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,6,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,7,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,8,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,9,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,10,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,11,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,12,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,13,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,14,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,15,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,16,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,17,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,18,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,19,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,20,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,21,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,22,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,23,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,24,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,25,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,26,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,27,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,28,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,29,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,30,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,31,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,32,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,33,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,34,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,35,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
1,0.1.0,model-level causal evidence; not a WAN measurement,36,hybrid_drop,100,512,516364602,282281414,990,968,454,522,0,0,0,2310720,258
