schema_version,simulator_version,evidence_class,sample_class,seed,overlap_percent,protocol,source_symbols,barrier_completion_ns,sender_completion_ns,total_emissions,useful_emissions,flow_count_match_emissions,tree0_emissions,tree1_emissions,post_barrier_tail_emissions,positive_round_deficits,round_deficit_sum,maximum_round_deficit,application_drops,link_drops,background_delivered_bytes,tree0_path_bytes,tree1_path_bytes,tree0_utilization_permille,tree1_utilization_permille,delivered_rate_correlation_ppm,maximum_mailbox_high_water
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,0,0,carousel,512,80299001,83506082,552,552,0,274,278,20,0,0,0,0,0,920576,151248,153456,188,191,775895,80
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,1,0,carousel,512,79523001,82806082,558,558,0,278,280,21,0,0,0,0,0,901120,153456,154560,192,194,61557,80
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,2,0,carousel,512,80231022,83706082,556,556,0,278,278,24,0,0,0,0,0,945152,153456,153456,191,191,484205,80
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,3,0,carousel,512,80728602,84006082,551,551,0,273,278,19,0,0,0,0,0,961024,150696,153456,186,190,703209,90
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,4,0,carousel,512,80239001,83306082,555,555,0,278,277,22,0,0,0,0,0,975360,153456,152904,191,190,483411,87
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,5,0,carousel,512,81769403,84806082,557,557,0,278,279,17,0,0,0,0,0,935424,153456,154008,187,188,444571,102
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,6,0,carousel,512,82343804,85906082,557,557,0,286,271,17,0,0,0,0,0,963072,157872,149592,191,181,420265,94
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,7,0,carousel,512,80231820,83506082,551,551,0,273,278,19,0,0,0,0,0,971776,150696,153456,187,191,699780,86
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,8,0,carousel,512,81059803,84406082,557,557,0,278,279,22,0,0,0,0,0,960000,153456,154008,189,189,705548,80
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,9,0,carousel,512,80586202,84106082,560,560,0,278,282,25,0,0,0,0,0,979456,153456,155664,190,193,500096,92
1,0.1.0,model-level causal evidence; not a WAN measurement,decisive,10,0,carousel,512,81099002,84206082,548,548,0,278,270,16,0,0,0,0,0,979456,153456,149040,189,183,700123,81
