schema_version,simulator_version,evidence_class,profile,placement,utilization_percent,jitter,seeds,cross_seed_tree_rate_correlation_ppm,trace_correlation_mean_ppm,trace_correlation_p5_ppm,trace_correlation_p95_ppm
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,30,false,16,0,-737,-1496,4540
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,30,true,16,904362,96705,57619,115741
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,50,false,16,0,-1004,-1496,4935
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,50,true,16,903298,95942,57619,122271
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,70,false,16,0,-1124,-1496,3959
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,70,true,16,906316,96186,57619,122271
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,30,false,16,0,-28853,-28853,-28853
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,30,true,16,729057,-91354,-116876,-78140
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,50,false,16,0,-28853,-28853,-28853
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,50,true,16,729057,-91354,-116876,-78140
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,70,false,16,0,-28853,-28853,-28853
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,70,true,16,729057,-91354,-116876,-78140
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,30,false,16,0,18737,17767,21167
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,30,true,16,930800,80952,63533,101403
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,50,false,16,0,18814,18077,19627
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,50,true,16,929589,80874,63533,112820
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,70,false,16,0,18948,18809,20132
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,70,true,16,929825,80831,63533,112820
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,false,16,0,9119,2471,9617
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,16,792739,45666,1349,85141
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,50,false,16,0,9617,9617,9617
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,50,true,16,792739,45666,1349,85141
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,70,false,16,0,9617,9617,9617
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,70,true,16,792739,45666,1349,85141
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,30,false,16,0,10405,9495,10578
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,30,true,16,943440,111066,50863,170653
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,50,false,16,0,10428,8906,10578
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,50,true,16,943351,109590,50863,170653
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,70,false,16,0,10384,8558,10578
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,70,true,16,943576,110335,50863,170653
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,30,false,16,0,32250,32250,32250
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,30,true,16,523046,51871,30320,83059
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,50,false,16,0,32250,32250,32250
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,50,true,16,523046,51871,30320,83059
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,70,false,16,0,32250,32250,32250
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,70,true,16,523046,51871,30320,83059
