schema_version,simulator_version,evidence_class,profile,placement,utilization_percent,jitter,seeds,carousel_mean_ns,per_stripe_mean_ns,best_single_mean_ns,pooling_advantage_mean_ns,pooling_advantage_p5_ns,pooling_advantage_p95_ns,path_diversity_advantage_mean_ns,path_diversity_advantage_p5_ns,path_diversity_advantage_p95_ns,total_advantage_mean_ns,additive_identity_holds
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,30,false,16,5019904856,5431168795,9244158622,411263939,411261249,411264929,3812989827,3812988447,3812992127,4224253766,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,30,true,16,5650985277,6091956166,9812644649,440970889,162922114,663171995,3720688482,3399376852,3857305926,4161659371,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,50,false,16,5019904766,5431168565,9244158622,411263799,411261249,411264129,3812990057,3812989727,3812992607,4224253856,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,50,true,16,5650988021,6091955669,9812645075,440967647,162922114,663171995,3720689406,3399376852,3857305926,4161657053,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,70,false,16,5019904766,5431168715,9244158622,411263949,411261249,411264129,3812989907,3812989727,3812992607,4224253856,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,70,true,16,5650979262,6091955488,9812697594,440976226,162922114,663171995,3720742106,3399376852,3857305926,4161718332,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,30,false,16,5017913152,5054880736,9242167008,36967584,36967584,36967584,4187286272,4187286272,4187286272,4224253856,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,30,true,16,5690346844,5766762731,9854561994,76415887,5196317,222729491,4087799263,3828723170,4204771784,4164215150,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,50,false,16,5017913152,5054880736,9242167008,36967584,36967584,36967584,4187286272,4187286272,4187286272,4224253856,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,50,true,16,5690346844,5766762731,9854561994,76415887,5196317,222729491,4087799263,3828723170,4204771784,4164215150,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,70,false,16,5017913152,5054880736,9242167008,36967584,36967584,36967584,4187286272,4187286272,4187286272,4224253856,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,70,true,16,5690346844,5766762731,9854561994,76415887,5196317,222729491,4087799263,3828723170,4204771784,4164215150,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,30,false,16,5395002873,5697813665,9939312988,302810792,302810720,302811658,4241499323,4241496214,4241500538,4544310115,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,30,true,16,6090893858,6478346374,10565505861,387452515,149537238,587674885,4087159486,3770255042,4264705860,4474612001,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,50,false,16,5395002873,5697813723,9939313707,302810850,302810720,302812800,4241499984,4241495072,4241500538,4544310834,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,50,true,16,6090893852,6478402185,10565577655,387508332,149537238,587674885,4087175470,3770255042,4264705860,4474683802,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,70,false,16,5395002873,5697813598,9939313707,302810725,302810720,302810800,4241500109,4241497072,4241500538,4544310834,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,70,true,16,6090667001,6478284808,10565577162,387617807,149537238,587674885,4087292353,3770255042,4264705860,4474910160,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,false,16,5397505337,5433571401,9941822329,36066064,36065920,36066328,4508250927,4508250664,4508251072,4544316991,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,16,6134824476,6192629625,10623509668,57805148,1737054,179029804,4430880043,4222171500,4516156322,4488685191,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,50,false,16,5397505337,5433571393,9941822329,36066056,36066056,36066056,4508250936,4508250936,4508250936,4544316992,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,50,true,16,6134824476,6192629625,10623509668,57805148,1737054,179029804,4430880043,4222171500,4516156322,4488685191,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,70,false,16,5397505337,5433571393,9941822329,36066056,36066056,36066056,4508250936,4508250936,4508250936,4544316992,true
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,70,true,16,6134824476,6192629625,10623509668,57805148,1737054,179029804,4430880043,4222171500,4516156322,4488685191,true
