schema_version,simulator_version,evidence_class,profile,placement,utilization_percent,jitter,seeds,receiver_barrier_rounds_minus_carousel_mean_ns,receiver_barrier_gap_p5_ns,receiver_barrier_gap_p95_ns,sender_rounds_minus_carousel_mean_ns,sender_gap_p5_ns,sender_gap_p95_ns,carousel_tail_emissions_mean,rounds_positive_deficit_total
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,30,false,16,-30,-480,0,67792615,67787337,67815107,58874,432
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,30,true,16,87661,-20189,1401838,72727135,39086434,120335134,59568,401
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,50,false,16,30,0,480,67790889,67773297,67800088,58874,432
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,50,true,16,7005,-1242156,1401838,71949614,39086434,136227426,59551,402
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,70,false,16,0,0,0,67787971,67744904,67791489,58874,432
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,east-origin,70,true,16,93827,-42159,1401838,73967179,39086434,137127860,59535,402
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,30,false,16,0,0,0,5572758,5572758,5572758,29050,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,30,true,16,691,-333,3092,35416706,-3876045,90635262,30501,225
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,50,false,16,0,0,0,5572758,5572758,5572758,29050,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,50,true,16,691,-333,3092,35416706,-3876045,90635262,30501,225
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,70,false,16,0,0,0,5572758,5572758,5572758,29050,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,aws-like,west-origin,70,true,16,691,-333,3092,35416706,-3876045,90635262,30501,225
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,30,false,16,0,0,0,35060494,35056344,35092832,59386,432
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,30,true,16,240066,-112039,2155202,58883182,3382662,125179199,60199,407
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,50,false,16,0,0,0,35056282,35044953,35064518,59386,432
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,50,true,16,202099,-112039,2155202,58635709,-1348627,125179199,60223,408
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,70,false,16,0,0,0,35055506,35047190,35056504,59386,432
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,east-origin,70,true,16,202955,-112039,2155202,62933098,-1348627,125179199,60189,408
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,false,16,0,0,0,31922159,31844366,31938462,30074,240
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,30,true,16,-1089,-16707,7062,58943690,-698620,97025893,31795,239
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,50,false,16,0,0,0,31926552,31926552,31926552,30074,240
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,50,true,16,-1089,-16707,7062,58943690,-698620,97025893,31795,239
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,70,false,16,0,0,0,31926552,31926552,31926552,30074,240
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,digitalocean-like,west-origin,70,true,16,-1089,-16707,7062,58943690,-698620,97025893,31795,239
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,30,false,16,-303,-2548,-107,100285827,100282195,100310037,58618,448
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,30,true,16,-591,-13454,3107,84262064,1902964,136332829,59243,406
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,50,false,16,-131,-367,-107,100283228,100281935,100287401,58618,448
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,50,true,16,-542,-11093,3107,84743827,16914611,136332829,59235,406
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,70,false,16,-107,-1136,908,100282862,100280429,100283045,58618,448
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,east-origin,70,true,16,425,-2220,4395,85384728,19975738,136332829,59253,406
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,30,false,16,0,0,0,21400109,21400109,21400109,28538,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,30,true,16,-4,-77,0,57943492,36978263,94236471,29905,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,50,false,16,0,0,0,21400109,21400109,21400109,28538,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,50,true,16,-4,-77,0,57943492,36978263,94236471,29905,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,70,false,16,0,0,0,21400109,21400109,21400109,28538,224
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,gcp-like,west-origin,70,true,16,-4,-77,0,57943492,36978263,94236471,29905,224
