schema_version,simulator_version,evidence_class,slice,profile,placement,utilization_percent,jitter,protocol,source_symbols,cadence,admission,sessions,seeds,barrier_mean_ns,barrier_p5_ns,barrier_p95_ns,sender_mean_ns,sender_p5_ns,sender_p95_ns,emissions_mean,emissions_p5,emissions_p95,application_drops_mean,stall_consumption_p95_ppm,link_drops_total
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,false,carousel,8192,1x,hybrid-drop,1,16,5019904856,5019904736,5019905216,5103401632,5103401624,5103401764,67066,67066,67066,0,8866,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,false,rounds,8192,1x,hybrid-drop,1,16,5019904826,5019904736,5019905216,5171194248,5171189101,5171216731,65864,65864,65864,0,344747,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,false,per-stripe-fec,8192,1x,hybrid-drop,1,16,5431168795,5431166465,5431170145,5506670248,5506667918,5506671598,66554,66554,66554,0,367111,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,false,best-single-tree0,8192,1x,hybrid-drop,1,16,9244158622,9244158592,9244159072,9319660154,9319660045,9319661790,56058,56058,56058,0,621310,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,false,best-single-tree1,8192,1x,hybrid-drop,1,16,9288164602,9288162272,9288165952,9363666055,9363663725,9363667405,83322,83322,83322,0,624244,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,true,carousel,8192,1x,hybrid-drop,1,16,5650985277,5421288212,5959736878,5730505732,5502223195,6040751963,67760,67242,68453,0,6464,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,true,rounds,8192,1x,hybrid-drop,1,16,5651072938,5421288146,5959716689,5803232867,5560367334,6161087097,66245,64887,68679,0,410739,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,true,per-stripe-fec,8192,1x,hybrid-drop,1,16,6091956166,5718423677,6490593687,6167882089,5793478261,6566625038,66862,66140,67783,0,437775,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,true,best-single-tree0,8192,1x,hybrid-drop,1,16,9867982706,9641643281,10076449340,9943908983,9714394893,10152480691,57336,56294,58878,0,676832,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,30,true,best-single-tree1,8192,1x,hybrid-drop,1,16,9930933808,9572930800,10329894305,10006859799,9647985384,10405925656,83601,81397,85778,0,693728,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,false,carousel,8192,1x,hybrid-drop,1,16,5019904766,5019904736,5019905216,5103401624,5103401624,5103401624,67066,67066,67066,0,8866,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,false,rounds,8192,1x,hybrid-drop,1,16,5019904796,5019904736,5019905216,5171192513,5171174921,5171201712,65864,65864,65864,0,344746,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,false,per-stripe-fec,8192,1x,hybrid-drop,1,16,5431168565,5431166465,5431168865,5506670018,5506667918,5506670318,66554,66554,66554,0,367111,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,false,best-single-tree0,8192,1x,hybrid-drop,1,16,9244158622,9244158592,9244159072,9319660139,9319660045,9319661077,56058,56058,56058,0,621310,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,false,best-single-tree1,8192,1x,hybrid-drop,1,16,9288164565,9288162272,9288166907,9363666018,9363663725,9363668360,83322,83322,83322,0,624244,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,true,carousel,8192,1x,hybrid-drop,1,16,5650988021,5421288212,5959736878,5730557510,5502223195,6040751963,67743,67242,68453,0,6464,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,true,rounds,8192,1x,hybrid-drop,1,16,5650995026,5421288146,5959716689,5802507125,5560367334,6161087097,66269,64887,68679,0,410739,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,true,per-stripe-fec,8192,1x,hybrid-drop,1,16,6091955669,5718423677,6490593687,6167882984,5793478261,6566625038,66818,66079,67758,0,437775,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,true,best-single-tree0,8192,1x,hybrid-drop,1,16,9867656455,9641643114,10076449340,9943583335,9714394726,10152480691,57334,56294,58878,0,676832,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,50,true,best-single-tree1,8192,1x,hybrid-drop,1,16,9930932831,9572930800,10329894305,10006858822,9647985384,10405925656,83503,81397,85778,0,693728,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,false,carousel,8192,1x,hybrid-drop,1,16,5019904766,5019904736,5019905216,5103401624,5103401624,5103401624,67066,67066,67066,0,8866,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,false,rounds,8192,1x,hybrid-drop,1,16,5019904766,5019904736,5019905216,5171189595,5171146528,5171193113,65864,65864,65864,0,344746,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,false,per-stripe-fec,8192,1x,hybrid-drop,1,16,5431168715,5431166465,5431168865,5506670168,5506667918,5506670318,66554,66554,66554,0,367111,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,false,best-single-tree0,8192,1x,hybrid-drop,1,16,9244158622,9244158592,9244159072,9319660075,9319660045,9319660525,56058,56058,56058,0,621310,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,false,best-single-tree1,8192,1x,hybrid-drop,1,16,9288164707,9288162272,9288166448,9363666166,9363663725,9363668005,83322,83322,83322,0,624244,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,true,carousel,8192,1x,hybrid-drop,1,16,5650979262,5421288212,5959736878,5730589168,5502223195,6040751963,67727,67140,68453,0,6464,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,true,rounds,8192,1x,hybrid-drop,1,16,5651073089,5421288146,5959716689,5804556347,5560367334,6161087097,66268,64887,68679,0,410739,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,true,per-stripe-fec,8192,1x,hybrid-drop,1,16,6091955488,5718423677,6490593687,6167884068,5793478261,6566625038,66789,65869,67758,0,437775,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,true,best-single-tree0,8192,1x,hybrid-drop,1,16,9867708975,9641643887,10076449340,9943635240,9714395499,10152480691,57337,56294,58878,0,676832,0
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,aws-like,east-origin,70,true,best-single-tree1,8192,1x,hybrid-drop,1,16,9930978154,9572930800,10329894305,10006904144,9647985384,10405925656,83626,81397,85778,0,693728,0
