schema_version,simulator_version,evidence_class,slice,profile,placement,utilization_percent,realized_background_trunk_utilization_ppm,jitter,protocol,source_symbols,seed,cadence,admission,slow_receiver,sessions,barrier_completion_ns,sender_completion_ns,receiver0_completion_ns,receiver1_completion_ns,receiver2_completion_ns,total_emissions,useful_emissions,tree0_emissions,tree1_emissions,application_drops,blocking_waits,positive_round_deficits,ack_probes,stall_budget_consumption_ppm,link_drops,a4_trace_correlation_ppm,tree0_delivered_bytes,tree1_delivered_bytes,maximum_mailbox_high_water
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,205743,true,carousel,8192,0,1x,hybrid-drop,-1,1,1700254157,1761505910,686536474,1008769274,1700254157,151548,151548,75774,75774,0,0,0,0,8929,0,678400,13582240,13582240,42510
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,220661,true,carousel,8192,1,1x,hybrid-drop,-1,1,1709349308,1768708729,689821271,1011079503,1709349308,151548,151548,75774,75774,0,0,0,0,8764,0,731925,13582240,13582240,43634
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,220920,true,carousel,8192,2,1x,hybrid-drop,-1,1,1714217983,1775758818,697859902,1020401949,1714217983,142282,142282,72318,69964,0,0,0,0,8872,896,692535,13582240,13582240,42643
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,271383,true,carousel,8192,3,1x,hybrid-drop,-1,1,1703359512,1764395297,698201684,1009179464,1703359512,136113,136113,69662,66451,0,0,0,0,8748,1044,612825,13582240,13582240,44482
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,274242,true,carousel,8192,4,1x,hybrid-drop,-1,1,1711553462,1771262673,687396876,1007282521,1711553462,151548,151548,75774,75774,0,0,0,0,9493,0,755259,13582240,13582240,45908
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,388380,true,carousel,8192,5,1x,hybrid-drop,-1,1,1710096321,1772361965,698379020,1014852739,1710096321,140239,140239,71857,68382,0,0,0,0,8801,635,495221,13582240,13582240,44389
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,274396,true,carousel,8192,6,1x,hybrid-drop,-1,1,1698419929,1760263513,682662294,1008328842,1698419929,102374,102374,26600,75774,0,0,0,0,9344,535,520416,13582240,13582240,32864
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,329668,true,carousel,8192,7,1x,hybrid-drop,-1,1,1712542997,1772994901,699973337,1003926151,1712542997,151548,151548,75774,75774,0,0,0,0,9373,0,372318,13582240,13582240,44325
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,238126,true,carousel,8192,8,1x,hybrid-drop,-1,1,1725267928,1786960513,691877008,1017414679,1725267928,113292,113292,37518,75774,0,0,0,0,9506,759,252414,13582240,8252976,41446
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,284589,true,carousel,8192,9,1x,hybrid-drop,-1,1,1678118322,1736667492,697730769,1007193656,1678118322,119353,119353,43579,75774,0,0,0,0,9270,421,592489,13582240,13582240,44057
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,310865,true,carousel,8192,10,1x,hybrid-drop,-1,1,1696758810,1757504077,699076063,1016984928,1696758810,111779,111779,36005,75774,0,0,0,0,8888,363,655974,13582240,13582240,41660
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,255058,true,carousel,8192,11,1x,hybrid-drop,-1,1,1709438475,1767315888,689125760,1018551434,1709438475,151548,151548,75774,75774,0,0,0,0,8156,0,666885,13582240,13582240,45565
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,255108,true,carousel,8192,12,1x,hybrid-drop,-1,1,1712123528,1771278454,698630781,1009882505,1712123528,151548,151548,75774,75774,0,0,0,0,9444,0,647951,13582240,13582240,45202
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,278234,true,carousel,8192,13,1x,hybrid-drop,-1,1,1689597919,1750747908,697809820,1010200595,1689597919,151548,151548,75774,75774,0,0,0,0,9140,0,405347,13582240,13582240,45169
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,233087,true,carousel,8192,14,1x,hybrid-drop,-1,1,1714684332,1776834383,695643771,1010934724,1714684332,151548,151548,75774,75774,0,0,0,0,9134,0,733333,13582240,13582240,42137
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,261929,true,carousel,8192,15,1x,hybrid-drop,-1,1,1716216755,1776841145,698542984,1019058179,1716216755,151548,151548,75774,75774,0,0,0,0,8898,0,570781,13582240,13582240,46647
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,220287,true,rounds,8192,0,1x,hybrid-drop,-1,1,1700245459,1995340015,686536474,1008651634,1700245459,38137,38137,19069,19068,0,0,9,0,133022,2520,763762,15083040,15083040,34821
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,230092,true,rounds,8192,1,1x,hybrid-drop,-1,1,1709338276,1967825238,689821271,1011164417,1709338276,56268,56268,34212,22056,0,0,13,0,131188,7603,872537,15083040,15083040,33504
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,245398,true,rounds,8192,2,1x,hybrid-drop,-1,1,1714206958,2227807032,697859902,1020170157,1714206958,63484,63484,37298,26186,0,0,14,0,148520,12974,721687,17334240,17334240,34651
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,298671,true,rounds,8192,3,1x,hybrid-drop,-1,1,1703348632,2227212956,698201684,1009171664,1703348632,63376,63376,37272,26104,0,0,14,0,148480,12268,667013,17334240,17334240,35916
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,278591,true,rounds,8192,4,1x,hybrid-drop,-1,1,1711542542,1985575184,687396796,1007913439,1711542542,56332,56332,33904,22428,0,0,13,0,132371,8106,639602,15083040,15083040,30988
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,363859,true,rounds,8192,5,1x,hybrid-drop,-1,1,1710091342,2236687914,698379020,1013501751,1710091342,63376,63376,37136,26240,0,0,14,0,149112,12825,755928,17334240,17334240,35583
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,293578,true,rounds,8192,6,1x,hybrid-drop,-1,1,1698412825,2226736287,682662294,1007947318,1698412825,63376,63376,37136,26240,0,0,14,0,148449,12812,745799,17334240,17334240,33847
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,333148,true,rounds,8192,7,1x,hybrid-drop,-1,1,1712532872,1975861534,699973337,1003851075,1712532872,56204,56204,34044,22160,0,0,13,0,131724,7232,820346,15083040,15083040,35589
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,254240,true,rounds,8192,8,1x,hybrid-drop,-1,1,1725261233,2227991237,691877008,1017822954,1725261233,63504,63504,37328,26176,0,0,14,0,148532,13006,717856,17334240,17334240,34711
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,269122,true,rounds,8192,9,1x,hybrid-drop,-1,1,1678109165,1979048835,697730769,1006204793,1678109165,56204,56204,34044,22160,0,0,13,0,131936,7313,935885,9828816,9828816,35358
1,0.1.0,model-level realistic-envelope evidence; not a WAN measurement,main,digitalocean-like,west-origin,30,373594,true,rounds,8192,10,1x,hybrid-drop,-1,1,1696750580,2038375115,699076063,1015843338,1696750580,56076,56076,33298,22778,0,0,13,0,135891,7502,760638,15833440,15833440,33188
