schema_version,simulator_version,evidence_class,event_class,count
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,ack_probe_runtime_dispatch,44
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,ack_probe_submitted,44
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,backbone_resource_service_finished,14301894
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,backbone_resource_service_started,14301896
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,background_bytes_delivered,8081
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,background_off,117
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,background_on,115
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,block_ack_received,1027
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,block_ack_submitted,1027
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,carousel_ack_join_noop,582
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,carousel_ack_join_progress,445
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,carousel_liveness_last_ack_progress,1028
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,carousel_liveness_last_ack_seen,1028
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,carousel_liveness_stall_abort,1
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,carousel_progress_observed,228902
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,child_ack_arrival,2584161
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,child_admission_blocked,2279372
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,child_queue_admit,524288
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,child_segment_emit,2069537
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,child_socket_write,1390131
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,data_frame_emitted,131072
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,data_inbox_drop_after_tcp_ack,164314
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,data_inbox_enqueue,228902
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,decoder_sink_complete,228902
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,dispatch_backbone_propagation_complete,14301862
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,dispatch_backbone_receive,5479185
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,dispatch_backbone_resolve_timestamp,27367271
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,dispatch_backbone_sample,2400
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,dispatch_backbone_service_deadline,14301894
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,dispatch_background_network_packet,24237
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,dispatch_background_start,8
