schema_version,simulator_version,evidence_class,bucket_start_ns,bucket_end_ns,source_emissions,slow_receiver_data_frame_arrivals,slow_receiver_inbox_accepts,slow_receiver_inbox_drops,slow_receiver_decoder_completions,innovative_rank_advance,rank_at_bucket_end,quantized_receiver_watermark_at_bucket_end,block_ack_emissions,sender_ack_joins,sender_progress_joins,sender_joined_watermark_at_bucket_end,last_ack_seen_ns,last_ack_progress_ns,silence_clock_age_ns,progress_clock_age_ns,stall_budget_remaining_ns,liveness_abort
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,1000000000,1250000000,16428,60,60,0,57,57,57,3,8,5,1,1,1217598750,1207750526,32401250,42249474,14957750526,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,1250000000,1500000000,464,704,317,387,216,216,273,16,25,24,12,13,1489108073,1486534016,10891927,13465984,14986534016,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,1500000000,1750000000,7680,9489,275,9200,250,250,523,30,28,28,15,28,1741146590,1740464431,8853410,9535569,14990464431,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,1750000000,2000000000,29087,27165,250,26803,250,250,773,45,27,28,15,43,1993323250,1993323250,6676750,6676750,14993323250,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,2000000000,2250000000,23008,14938,250,14813,250,250,1023,60,28,28,15,58,2245659559,2245659559,4340441,4340441,14995659559,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,2250000000,2500000000,17954,18200,196,18005,250,250,1273,74,28,27,14,72,2493760950,2493760950,6239050,6239050,14993760950,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,2500000000,2750000000,0,1536,199,1337,240,240,1513,89,27,28,15,87,2748260797,2748260797,1739203,1739203,14998260797,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,2750000000,3000000000,683,7048,341,6706,246,246,1759,103,28,28,14,101,2995949761,2986949761,4050239,13050239,14986949761,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,3000000000,3250000000,10917,14001,135,13867,250,250,2009,118,28,28,15,116,3248717944,3248717944,1282056,1282056,14998717944,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,3250000000,3500000000,4558,0,0,0,14,14,2023,119,2,5,3,119,3295872033,3295872033,204127967,204127967,14795872033,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,3500000000,3750000000,4574,0,0,0,0,0,2023,119,2,2,0,119,3605286800,3295872033,144713200,454127967,14545872033,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,3750000000,4000000000,4591,0,0,0,0,0,2023,119,2,2,0,119,3913531196,3295872033,86468804,704127967,14295872033,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,4000000000,4250000000,4576,5000,365,4635,240,240,2263,133,26,23,12,131,4248244467,4248244467,1755533,1755533,14998244467,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,4250000000,4500000000,4082,1319,250,1069,250,250,2513,147,28,28,15,146,4498963510,4498963510,1036490,1036490,14998963510,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,4500000000,4750000000,2470,2917,252,2665,250,250,2763,162,28,27,14,160,4749362649,4749362649,637351,637351,14999362649,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,4750000000,5000000000,0,4910,252,4658,250,250,3013,177,28,28,15,175,4993834614,4993834614,6165386,6165386,14993834614,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,5000000000,5250000000,0,6499,250,6247,250,250,3263,191,27,28,14,189,5246476112,5236128960,3523888,13871040,14986128960,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,5250000000,5500000000,0,985,180,807,250,250,3513,206,28,28,15,204,5496153721,5492016010,3846279,7983990,14992016010,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,5500000000,5750000000,0,1178,251,927,250,250,3763,221,28,28,15,219,5748017820,5740811211,1982180,9188789,14990811211,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,5750000000,6000000000,0,1198,251,947,250,250,4013,236,28,26,14,233,5982578468,5982578468,17421532,17421532,14982578468,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,6000000000,6250000000,0,1207,255,952,250,250,4263,250,27,29,15,248,6242673119,6241052651,7326881,8947349,14991052651,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,6250000000,6500000000,0,1217,258,959,250,250,4513,265,28,28,15,263,6496703094,6485654678,3296906,14345322,14985654678,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,6500000000,6750000000,0,1225,252,973,250,250,4763,280,28,27,14,277,6743189228,6736537980,6810772,13462020,14986537980,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,6750000000,7000000000,0,1234,256,978,250,250,5013,294,28,28,15,292,6989722806,6981765184,10277194,18234816,14981765184,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,7000000000,7250000000,0,1243,253,990,250,250,5263,309,28,27,15,307,7240136893,7240136893,9863107,9863107,14990136893,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,7250000000,7500000000,0,1252,258,994,250,250,5513,324,27,29,15,322,7495950822,7495950822,4049178,4049178,14995950822,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,7500000000,7750000000,0,1262,255,1007,250,250,5763,339,28,28,15,337,7746191724,7746191724,3808276,3808276,14996191724,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,7750000000,8000000000,0,1270,259,1011,250,250,6013,353,28,28,15,352,7997752846,7997752846,2247154,2247154,14997752846,false
